_raw,_time,date_hour,date_mday,date_minute,date_month,date_second,date_wday,date_year,date_zone,euid,eventtype,host,index,linecount,punct,rhost,source,sourcetype,splunk_server,splunk_server_group,tag,tag::eventtype,timeendpos,timestartpos,tty,uid,user,attempts_in_window,unique_users_in_window,seconds_since_last_attempt,hour,targets_root,rule_flag,ml_anomaly,ml_anomaly_score,ip_is_attacker,ip_anomaly_score
Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,2026-06-14 12:16:01+00:00,15.0,14.0,16.0,june,1.0,sunday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=..._,218.188.2.4,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,unknown,1,1,9999.0,12,0,0,1,0.048212349660809006,1,-0.01790846351071218
Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,2026-06-14 12:16:02+00:00,15.0,14.0,16.0,june,2.0,sunday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=..._,218.188.2.4,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,unknown,2,1,1.0,12,0,0,1,0.02851175313459442,1,-0.01790846351071218
Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,9999.0,23,1,1,-1,-0.15933057130987388,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
Jun 15 02:04:59 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,2026-06-14 23:04:59+00:00,2.0,15.0,4.0,june,59.0,monday,2026.0,local,0.0,,Kamal,main,1.0,__::__()[]:__;_=_=_=_=_=_=---.-..__=,220-135-151-1.hinet-ip.hinet.net,Linux_2k.log,my_linux_logs,Kamal,,,,16.0,0.0,NODEVssh,0.0,root,10,1,0.0,23,1,1,-1,-0.07124811341371245,1,-0.029195777678079016
