rhost,risk_score,risk_level,total_attempts,attempts_per_minute,targets_root_ratio
1.255.171.167,100,Kritik,188,30.16042780748663,1.0
150.183.249.110,100,Kritik,80,50.526315789473685,1.0
167.94.146.55,100,Kritik,154,30.196078431372552,1.0
45.148.10.157,100,Kritik,86,30.352941176470587,1.0
2.57.122.209,100,Kritik,161,30.1875,1.0
218.17.176.80,100,Kritik,180,30.167597765363126,1.0
24.97.253.246,100,Kritik,189,30.159574468085108,1.0
n219076184117.netvigator.com,88,Yüksek,23,24.642857142857142,1.0
csnsu.nsuok.edu,85,Yüksek,10,600.0,1.0
202.181.236.180,85,Yüksek,10,600.0,1.0
211.9.58.217,85,Yüksek,10,600.0,1.0
220-135-151-1.hinet-ip.hinet.net,85,Yüksek,10,600.0,1.0
61-220-159-99.hinet-ip.hinet.net,82,Yüksek,3,180.0,1.0
193.110.106.11,81,Yüksek,2,120.0,1.0
199.45.154.75,75,Yüksek,380,120.63492063492065,0.1631578947368421
14.54.22.11,74,Yüksek,389,120.30927835051546,0.1259640102827763
164.92.109.155,74,Yüksek,337,120.35714285714286,0.1394658753709199
66.132.224.224,74,Yüksek,253,120.47619047619048,0.1343873517786561
77.90.185.20,74,Yüksek,265,120.45454545454544,0.1320754716981132
45.148.10.151,73,Yüksek,302,120.8,0.1059602649006622
3.131.220.121,73,Yüksek,260,120.93023255813954,0.1076923076923077
92.118.39.50,73,Yüksek,225,120.53571428571428,0.1155555555555555
45.148.10.152,73,Yüksek,165,120.73170731707316,0.109090909090909
2.57.122.168,73,Yüksek,121,121.0,0.0991735537190082
adsl-70-242-75-179.dsl.ksc2mo.swbell.net,55,Orta,10,600.0,0.0
ip-216-69-169-168.ip.secureserver.net,55,Orta,10,600.0,0.0
217.60.212.66,53,Orta,6,360.0,0.0
182.93.50.90,36,Düşük,51,0.068,0.196078431372549
79.72.57.232,36,Düşük,56,0.0678787878787878,0.1964285714285714
167.94.146.62,35,Düşük,67,0.0676767676767676,0.1641791044776119
167.94.146.61,34,Düşük,58,0.0678362573099415,0.1206896551724138
80.94.92.179,34,Düşük,41,0.0683333333333333,0.1219512195121951
80.94.92.234,33,Düşük,53,0.0679487179487179,0.0943396226415094
195.178.110.137,30,Düşük,34,0.0686868686868686,0.088235294117647
218.188.2.4,17,Düşük,14,0.0111348241625684,0.0
